제목,링크,본문,날짜,감성 분석 결과,Date,Close,High,Low,Open,Volume
"금감원, 홈플러스 CP 등 개인 판매액 파악 나서",https://n.news.naver.com/mnews/article/422/0000719956,"[연합뉴스 제공]홈플러스가 기업회생절차에 들어가면서 기업어음(CP)과 전자단기사채(STB)를 매입한 개인 투자자의 손실 우려가 커지자 금융감독원이 현황 파악에 나섰습니다.금감원은 오늘(10일) 각 증권사에 공문을 보내 홈플러스 관련 기업어음과, 전자단기사채, 카드대금채권을 기초로 발행된 유동화증권(ABSTB·자산유동화 전자단기사채) 중 개인 대상 판매 금액을 오는 12일까지 제출하라고 요청했습니다.금융권에 따르면 금융사 부채와 리스 부채 등을 제외한 홈플러스의 이들 금융채권은 카드대금채권을 기초로 발행된 유동화증권 약 4천억원, 기업어음, 전단채 약 2천억원 등으로 모두 약 6천억원 규모입니다.금융권은 홈플러스의 신용등급을 고려했을 때 대부분 물량이 대형 기관투자자가 아닌 일반 개인과 법인을 대상으로 한 소매판매된 것으로 추정하고 있습니다.금감원 관계자는 ""현재 불완전판매 등을 예단할 수 있는 상황은 아니다""라며 ""개인 손해가 예상되는 만큼 현황 파악을 위해 자료를 요청했다""고 말했습니다.#금감원 #홈플러스 #CP #연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",2025-03-10,중립,2025-03-10,53700.0,54800.0,53500.0,53500.0,12921670
"동서식품, 홈플러스 납품 재개…식품사 속속 복귀",https://n.news.naver.com/mnews/article/018/0005959537,"대금지급 관련 협의 마무리, 12일부터 납품삼양·오뚜기·롯데웰푸드 등 잇따라 납품재개홈플 측 “상거래 채권 지급 완료해 불안 해소할 것”[이데일리 김정유 기자] 동서(026960)식품이 홈플러스에 납품을 재개한다. 기업회생 절차 속 홈플러스 납품 중단 문제가 하나둘 해소되는 모양새다.서울 한 홈플러스 매장의 모습. (사진=연합뉴스)10일 동서식품에 따르면 이 회사는 최근 홈플러스와 협의를 진행을 끝내고 11일 주문분부터 거래를 재개할 예정이다. 동서식품은 지난 4일 홈플러스가 기업회생 절차에 들어간 이틀후인 6일부터 납품을 중단했다.회사 관계자는 “그간 우려가 있던 대금지급에 대한 불확실성을 홈플러스 측과 협의를 통해 해소했다”며 “11일 주문분, 즉 12일부터 납품을 재개할 방침”이라고 말했다.동서식품에 앞서 롯데웰푸드(280360)도 지난 6일부터 홈플러스 납품을 중단했지만 협의 끝에 8일부터 재개했다. 오뚜기(007310) 역시 지난 7일부터 납품을 재개했다. 회사 관계자는 “홈플러스와 대금지급 관련 협의를 마쳤고, 소비자 혼란 등을 최소화하기 위해 결정한 것”이라고 밝혔다.삼양식품(003230)도 이날부터 홈플러스에 제품을 다시 공급했다. 역시 대금지급 관련 홈플러스 측과의 협의가 끝난 직후 진행됐다.홈플러스 기업회생 절차 이후 릴레이 납품 중단을 이어왔던 식품업체들이 하나둘 공급을 재개하는 모습이다.앞서 대형 식품사인 CJ제일제당(097950)과 농심(004370)은 사태가 불거졌을 초기부터 납품을 유지하고 있다.이처럼 주요 식품사들이 홈플러스 납품을 재개하거나 유지하면서 협력사 이탈로 고비를 맞았던 홈플러스도 한숨을 돌리게 됐다.홈플러스 측도 이날 보도자료를 내고 “회생절차가 개시되면서 일시 지급 중지됐던 일반 상거래 채권에 대해 지난 6일부터 자체 지급 가능한 ‘공익채권’부터 순차적으로 지급 중에 있다”며 “‘회생채권 변제 허가 신청’도 지난 7일 법원 승인을 받음에 따라 모든 상거래 채권을 지급 완료해 협력사 불안, 불편을 최소화하겠다”고 밝혔다.회생절차가 개시된 지난 4일 이전 20일 내에 발생한 채권은 공익채권으로 분류된다. 홈플러스는 향후 소상공인·영세업자·인건비성 회생채권을 우선적으로 지급하고 대기업 채권도 분할 상환할 예정이다. 또 대금 정산 지연으로 인해 협력사가 긴급자금 대출을 받을 경우 이자도 지급할 방침이다.",2025-03-10,중립,2025-03-10,53700.0,54800.0,53500.0,53500.0,12921670
